SECTOR,SHELF,REEF_NAME,REEF_ID,YEAR_CODE,REEF_YEAR_CODE_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
TO,M,REBE REEF,21588S,201483,16060S200405,-18.170258,146.868945,RAP,25,2016,20/08/2014,1996,5,27.6,28.7,35.794,2.57,2.45,6.378,2.218,1.387,3,77,0,50,0.514870611,1,-18.965412,152.160127,23/01/2021,86.73,41.56,1.3,3.56
CB,O,MANTIS REEF,18032S,202021,16019S201112,-23.004983,151.9458,RAP,15,2010,6/08/2001,2002,1,30.1,27.1,2.853,2.52,2.46,46.344,9.272,0.438,1,36,0.023,64,0.668454921,1,-14.494911,151.778894,27/09/2019,28.8,26.31,0.88,3.21
WH,O,LOW ISLANDS REEF,20014S,199740,20014S200001,-14.310728,148.275555,RM,5,1995,27/03/2009,1994,3,24.7,26.5,25.795,0,0,9.499,33.999,2.613,2,38,0.058,1,0.001425303,2,-20.222145,149.869408,3/04/1994,27.44,8.59,19.7,7.5
CA,O,ST CRISPIN REEF,23048S,201858,20348S201516,-14.242678,145.823175,RM,28,2005,11/03/2006,1999,4,28.7,25.9,25.943,2.5,2.44,19.821,2.471,0.785,0,57,0,2,0.534830053,1,-14.999491,149.38612,16/01/2013,64.67,11.35,0,3.33
PO,I,MACKAY REEF,22102S,201013,14138S201819,-16.22286,146.039661,RM,16,2013,28/11/2004,2012,9,25.9,26,25.339,2.62,2.45,5.308,4.1,2.21,22,23,2.059,1,0.140894853,3,-16.701421,147.351068,10/05/2011,48.61,56.91,12.63,20.3
PO,O,THETFORD REEF,22084S,201622,18032S199697,-20.882124,145.466601,RAP,29,2011,7/05/2016,2019,11,29.3,29.7,36.734,2.56,0,30.171,2.417,0.186,2,57,0.011,24,0.667807263,1,-22.143702,146.89605,13/11/2006,70.13,17.63,0.54,5.41
WH,M,HYDE REEF,20067A,199985,18039S199798,-21.005468,148.578723,RM,7,1999,23/02/2012,2000,10,29.8,29.7,24.898,14.79,0,29.698,8.265,1.641,1,89,0,1,0.004146348,1,-19.873536,149.498051,3/04/1994,49.23,36.29,13.39,9.65
CL,O,HAVANNAH REEF,14143S,200170,16015S202021,-20.919285,145.657811,RM,5,2004,19/08/2014,2012,3,29.2,28.9,32.957,2.47,0.92,22.887,3.533,1.302,1,82,0,0,0.013160075,1,-14.188957,149.705344,7/01/2004,55.97,6.56,1.22,2.69
CA,O,REBE REEF,18032S,199893,18039S199596,-15.777898,149.663201,RM,5,2001,9/01/2004,2002,10,32.3,29.8,14.936,0,2.44,11.355,19.346,3.659,4,67,0.026,1,0,1,-19.734301,150.090906,26/01/1997,22.79,11.93,0.58,31.62
CA,M,LADY MUSGRAVE REEF,23048S,201216,14137S201819,-21.386351,143.755334,RM,29,2011,28/11/2011,2004,7,28.3,27.9,25.591,2.61,2.5,25.32,4.762,1.401,2,55,0,68,0.9476109,1,-21.768937,152.066429,25/11/1997,25.77,16.11,3.36,1.85
PO,O,21550S,21305S,200488,19207S201011,-16.060299,151.789758,RAP,21,2005,24/09/2001,2002,6,24.3,26.2,25.948,2.45,2.46,41.621,0,0.59,0,21,0.012,1,0.046236232,1,-22.934421,149.912492,9/12/1995,28.24,23.42,1.33,11.24
SW,O,FARQUHARSON REEF (NO 1),21562S,200997,14137S201819,-19.504297,151.743843,RM,16,2006,24/09/2001,2011,7,22.1,25.8,36.044,2.5,0,35.382,4.142,3.019,3,28,0.012,1,0.007313197,1,-11.98198,148.623933,11/01/2010,19.45,26.66,0.65,2.76
SW,O,MARTIN REEF(14123),15099C,199635,18034S200001,-15.445752,145.808342,RM,8,2000,9/01/2012,1992,6,30.2,26,21.417,0.16,0,16.026,0,1.052,1,72,0,1,0.0130822,3,-17.035972,145.372226,4/03/1998,57.4,16.38,20.66,46.97
WH,M,HASTINGS REEF,23045A,200201,18086S201920,-19.669057,145.69248,RM,10,2012,26/10/1996,1996,2,28.6,28.9,8.252,2.5,0,8.365,14.604,1.7,2,20,0,20,0,1,-19.865854,149.840573,29/04/2017,32.63,30.28,4.12,6.17
CA,M,FORK REEF,18039S,201959,14138S199697,-18.33988,147.048466,RAP,27,2019,29/04/1999,2019,2,30.1,28.8,25.696,2.32,2.47,4.339,3.249,1.372,0,73,0,11,0.238415365,1,-18.535567,145.301026,30/04/2005,46,0.1,0,8.21
CB,M,BROOMFIELD REEF,18081S,201787,23080S201718,-21.677739,152.080629,RMRAP,25,2002,31/10/2003,2012,8,27.1,27.1,46.248,2.49,2.43,12.804,3.128,0.849,2,54,0.042,42,0.513398288,3,-21.037945,152.340578,11/11/2006,19.38,21.18,1.57,3.46
WH,M,GREEN ISLAND REEF,22104S,199941,13124S201920,-17.003131,145.592003,RM,19,2012,21/01/2005,2018,4,30.8,28.9,36.322,2.56,2.53,4.896,7.596,1.674,19,22,0,0,0.01229427,2,-15.098453,152.220477,8/01/1996,24.59,7.88,19.78,8.09
SW,M,CENTIPEDE REEF,16015S,201084,21556S200607,-13.120384,147.610682,RAP,19,2017,31/03/1997,2013,5,28.7,28.4,4.409,2.56,2.47,25.92,8.623,1.002,1,62,0,14,0.32042111,1,-21.428586,144.22214,12/12/2017,84.46,9.88,2.58,9.88
TO,M,MACGILLIVRAY REEF,17024S,199680,18039S200304,-15.815336,145.842678,RM,14,1997,30/04/2011,2013,12,28.4,29.1,24.903,7.39,0,13.209,3.023,0.479,1,59,0.001,0,0.010193192,1,-16.885382,147.171282,9/12/2005,48.12,14.58,6.85,3.79
TO,O,THETFORD REEF,12061S,201291,11016S201920,-18.01354,146.468982,RM,19,2009,29/04/2009,2017,11,30.6,27.3,47.218,2.53,0,11.309,3.318,2.225,3,101,0,19,0.218853393,1,-15.08708,145.301504,5/12/2020,83.56,13.16,4.57,3.81
CA,M,HYDE REEF,21305S,199754,19207S199899,-19.514166,149.649864,RMRAP,14,2016,15/10/1997,2018,7,31.2,28.6,25.506,2.56,2.43,27.198,3.493,0.235,0,51,0,2,0.002142675,1,-20.107933,148.349379,2/05/2008,75.98,0.14,15.89,2.7
CB,O,JOHN BREWER REEF,13130S,200755,18086S201213,-19.378071,149.638517,RM,4,2000,10/12/2013,1992,4,30,26.1,15.55,0,0,11.914,0.538,1.077,0,43,0.001,0,0,3,-16.67747,149.819026,26/04/1997,27.3,18.84,7.92,12.24
SW,M,THETFORD REEF,20067A,199543,20014S200001,-19.450672,149.213372,RM,3,1996,24/10/2002,1992,3,28.8,25.8,25.313,0,0,8.873,0.607,1.073,3,41,0,1,0,1,-16.317997,149.688796,29/02/2004,16.16,24.76,7.03,15.4
PC,O,HASTINGS REEF,15099C,201893,17014S201112,-16.628503,145.488834,RM,24,2020,7/05/2016,2017,2,32.2,29.2,24.827,2.47,2.52,11.006,5.639,0.019,1,98,0.021,14,0.59112457,3,-18.84844,146.989667,5/12/2020,53.63,17.46,0.19,5.15
CA,O,CHICKEN REEF,20019S,201948,11016S201920,-15.473092,145.451176,RMRAP,29,2019,28/11/2004,2018,2,31.6,29,3.497,2.43,0,5.623,3.226,0.912,1,96,0,12,0.222856361,1,-18.434661,145.330326,24/10/2002,59.2,8.58,1.15,3.99
CA,O,RIB REEF,14123S,200328,16049S199293,-21.419754,145.089869,RMRAP,6,2014,26/01/1996,2012,1,29.8,30.4,25.427,2.46,2.45,33.994,7.386,0.705,124,39,0,23,0.006181928,1,-22.126495,151.68048,23/08/2004,32.86,29.35,0.52,2.56
CL,O,HASTINGS REEF,21296S,201257,23048S201920,-20.263714,152.341622,RAP,15,2010,12/09/2019,2017,1,30.1,26.1,20.537,2.57,2.49,16.946,7.609,1.105,3,45,0.034,43,2.177573554,3,-21.908481,145.161194,8/09/2002,20.63,43.4,0,2.12
TO,M,OPAL (2),17063A,201837,11016S201920,-18.639415,147.09763,RAP,28,2020,24/11/1999,2018,9,30.5,29.1,3.807,2.4,0,5.295,2.593,1.59,2,33,0,12,0.145966941,2,-18.615435,146.944897,27/01/2019,82.66,0.1,2.98,6.18
IN,M,YONGE REEF,16019S,200607,21060S201920,-11.025,146.708059,RM,27,1997,25/01/1999,2010,9,32.4,26.9,25.571,2.57,2.48,29.913,3.532,1.254,2,78,0,19,0.754317475,1,-14.932905,149.224077,8/01/2007,46.24,15.9,0,8.02
CL,O,HORSESHOE,14123S,200202,16015S199900,-15.63368,143.25,RM,24,2020,17/04/2012,2010,5,29.6,32.6,34.447,2.45,2.51,21.591,3.74,0.742,3,109,0.048,29,0.164318133,1,-23.313143,146.850625,27/01/2019,34.61,28.72,1.65,8.39
WH,O,LANGFORD-BIRD REEF,14114S,201804,18065S200607,-18.470242,143.25,RM,25,2017,30/04/2014,2017,4,32,29.7,36.337,2.47,0,4.66,3.436,0.359,1,35,0,21,0.480805791,2,-17.930043,146.649475,1/02/1998,70.71,13.28,0,30.69
WH,O,22084S,21245S,199724,20014S200001,-19.286521,149.415487,RM,6,2019,13/02/1996,2002,3,26.1,25.9,32.971,0.15,0,25.931,4.531,2.35,1,57,0,0,0.016849787,1,-19.861025,151.972885,2/05/2005,18.48,28.69,18,23.07
TO,M,LIZARD ISLAND,21529S,200581,18075S200203,-21.209553,146.685454,RAP,26,2021,10/07/2006,2008,2,27.9,27.8,25.142,2.54,0.98,15.142,2.397,1.049,0,50,0,9,0.66544186,1,-18.622165,144.215965,5/12/2020,63.34,16.36,3.49,3.3
TO,M,EAST CAY REEF,19209S,201794,16049S200203,-18.427731,151.862902,RAP,22,2009,20/08/2014,2002,7,31.1,26.1,25.691,2.56,2.47,33.953,15.298,1.605,1,82,0,119,0.582022353,1,-23.770525,145.418296,6/12/1999,46.17,15.43,2.98,4.54
PO,O,CHINAMAN REEF(22102),18032S,201312,23080S200910,-21.398417,151.70693,RAP,25,2021,2/12/2005,2016,1,30.6,27.5,25.536,2.75,2.46,7.544,5.637,2.026,29,26,0,6,0.62489512,1,-21.159876,152.222041,13/09/2013,42.97,6.81,0.25,3.77
PO,O,SNAKE (22088),21556S,202021,22102S199293,-21.100723,152.178056,RM,23,2014,28/05/2020,2007,4,29.3,29.8,48.39,2.58,2.46,2.728,2.619,0.449,1,31,0.005,29,0.497155666,3,-23.240219,145.465986,8/01/2019,80.54,10.7,0.55,2.72
CL,I,MACKAY REEF,18077S,199684,18034S200001,-18.195578,145.636951,RAP,24,2010,2/12/2008,1997,2,29.6,28.2,25.439,2.55,0,21.103,36.306,0.002,2,58,0,1,0.015319853,2,-17.02003,145.379181,15/03/2015,50.83,9.87,0,4.09
CL,O,LOW ISLANDS REEF,14137S,201233,14137S201819,-16.637018,152.530472,RAP,28,2000,5/08/2001,2010,2,25.9,26.4,36.329,2.63,0,26.516,9.738,2.198,2,20,0.022,0,0.029710575,1,-23.722985,152.321058,23/01/2018,61.34,35.33,0.28,2.57
WH,I,BORDER ISLAND REEF (NO 1),14139S,201546,19207S199697,-19.629093,149.955496,RM,19,1997,22/09/2019,1998,6,26.3,26,25.731,14.68,2.45,23.907,13.376,0.949,1,30,0,2,0.01048059,3,-19.80452,152.084766,2/05/2005,14.19,6.76,0.8,11.06
TO,O,HASTINGS REEF,21305S,201856,14138S200203,-20.66268,147.298469,RAP,26,2018,9/12/1993,2018,8,28.6,26.3,7.98,2.48,0.03,8.097,3.134,0.862,0,63,0,86,0.622444233,1,-15.167003,152.419015,12/05/2006,60.01,3.28,1.7,3.87
WH,O,FITZROY ISLAND REEF,19209S,201812,16060S200203,-21.72605,146.755964,RAP,13,2012,30/04/2018,2013,1,28.3,28.4,25.188,2.41,2.5,7.846,3.249,1.546,0,70,0.028,35,0.679004872,3,-22.139552,146.010744,1/04/2009,75.88,13.97,0,3.09
TO,M,11162S,18086S,201789,14123S200102,-18.221415,145.252241,RAP,23,2018,1/05/2014,2015,5,30.6,29,8.114,2.47,2.49,6.121,2.138,1.89,0,29,0,27,0.266702787,3,-18.613095,147.640952,27/11/2019,76.5,0.52,5.86,4.98
CB,O,MCSWEENEY REEF,21305S,200779,16019S200506,-23.272703,152.147018,RMRAP,27,2018,5/08/2001,2011,7,28.6,26.3,25.308,2.42,2.44,44.649,3.269,0.446,2,50,0,32,0.641144059,3,-23.109857,152.137643,3/09/2000,56.86,49.86,0.54,0.68
CA,I,21529S,18065S,199833,12061S202021,-16.614424,145.988539,RMRAP,8,2010,6/10/2006,2011,9,31.2,29.7,35.368,2.43,0,14.27,3.523,1.179,2,59,0.029,31,0,2,-17.820127,145.981192,13/01/2004,48,22.51,1.21,5.77
TO,O,RIB REEF,22088S,201909,23082S201920,-15.910092,145.168353,RAP,28,2019,20/10/2003,2021,10,32.1,29,7.837,2.5,0,8.728,3.485,0.219,2,36,0,35,0.86681629,1,-18.625019,145.51549,27/11/2019,80.54,12.67,0.09,7.11
SW,M,HORSESHOE,17014S,200036,16057S201718,-20.604428,147.316767,RM,25,2018,12/12/1993,2010,8,28.9,26.3,25.376,2.35,2.47,23.635,6.195,0.683,1,31,0,2,0.536132816,1,-18.861366,149.953737,23/02/2004,78.65,17.58,22.62,3.91
CG,O,AGINCOURT REEFS (NO 1),17063A,202021,11016S201920,-18.047965,146.436981,RAP,29,2019,25/04/1996,2018,5,30.7,28.9,24.984,2.41,2.45,3.536,4.813,0.091,2,23,0,9,0.270495836,1,-18.328234,143.911677,27/01/2019,79,0.1,1.08,7.24
CB,M,SMALL LAGOON REEF,23082S,200362,16015S202021,-20.819343,152.551009,RAP,15,2012,17/12/2016,2004,9,27.2,25.8,19.278,2.42,2.47,16.457,2.73,1.121,1,30,0.007,0,0.92914812,3,-21.650928,150.877899,29/10/1992,46.54,41.05,1.94,5.73
WH,O,19138S,18065S,200018,20014S199596,-19.77324,151.684022,RM,17,2008,19/04/1997,2007,2,24.6,26,25.442,2.37,2.45,10.267,9.671,1.055,0,31,0,1,0.023161084,2,-22.432304,150.523333,2/05/2005,30.47,28.55,1.86,23.21
SW,O,BROOMFIELD REEF,21305S,199882,20014S199697,-19.528546,149.358544,RAP,22,1996,6/03/2016,1998,9,26,26.2,7.597,0.24,2.48,10.957,4.723,1.56,0,71,0,0,0.027800568,1,-20.13724,150.080327,27/10/2002,40.66,20.88,6.99,3.14
CL,I,MICHAELMAS REEF,21572S,202021,11016S201920,-11.025,145.780633,RMRAP,14,2017,1/05/2014,2020,9,31,29.4,4.085,2.58,2.48,20.059,6.602,0.823,0,26,0,71,0.221580021,3,-18.563065,143.99453,29/01/1997,58.05,6.99,0.91,41.61
SW,M,ARLINGTON REEF,21305S,200802,11016S201920,-16.012441,145.974277,RM,20,2001,31/05/2019,2016,4,29.8,29.2,7.719,2.52,2.47,5.322,2.639,1.336,0,32,0,54,0.862826956,1,-18.375711,145.627279,13/01/2004,77.77,8.17,0.79,3.94
TO,O,BOULT REEF,18032S,200882,23082S201718,-14.113116,147.509086,RM,27,2014,2/12/2008,2010,4,27.5,29.2,35.732,7.64,0,5.793,3.39,0,3,31,0.03,1,0.505668618,1,-11.744759,147.398327,26/11/2019,60.63,16.38,28.5,5.08
CA,M,ONE TREE REEF,20353S,200377,23080S201718,-21.519953,144.118284,RAP,23,2006,31/10/2003,2008,5,22.2,29.3,8.229,2.58,2.52,17.654,8.417,0.77,1,23,0,24,0.753821459,2,-20.950983,151.939844,3/12/2004,49.96,37.5,0.75,1.81
CL,O,SMALL LAGOON REEF,23055S,201409,14114S200304,-15.62493,145.384508,RM,22,2008,18/03/2003,2006,11,30.4,28.8,2.754,2.43,0,33.589,3.579,2.204,2,92,0,16,0.125157725,3,-18.716799,143.693452,5/04/1995,74.6,15.53,19.41,5.1
CA,O,LOW ISLANDS REEF,16049S,201803,23082S201920,-15.963283,145.679642,RM,25,2009,29/04/1999,2007,2,30.1,28.4,25.518,2.56,2.43,27.926,2.81,0.659,2,55,0,0,0.053134725,3,-14.685556,149.477688,13/05/2008,67.05,23.26,8.93,17.54
CB,O,FORE AND AFT REEF,20351A,201764,16019S200506,-21.414856,152.237565,RAP,26,2011,15/09/2000,2008,8,24.1,27.3,3.756,2.65,2.43,37.44,3.619,0.058,4,50,15.116,122,0.796174137,1,-21.603237,152.087128,11/11/2006,80.29,7.33,1.04,2.29
CA,M,TURNER REEF,16068S,201130,22088S200607,-15.845258,145.951094,RAP,26,2014,28/11/2011,2017,11,31.2,29.3,3.443,2.49,2.48,6.278,5.206,1.396,1,65,0.04,13,0.701836796,2,-22.08738,146.608519,24/02/2020,41.3,7.33,5.39,7.61
SW,M,11049S,20104S,199510,16028S199697,-15.825367,145.423852,RAP,23,2007,30/11/2018,2013,1,31.7,25.5,7.529,7.51,2.44,14.964,3.061,0.506,1,40,0.041,0,0.477644504,1,-14.137397,145.703313,25/01/1996,48.21,12.52,28.46,11.84
CA,O,EAST CAY REEF,21305S,201468,22104S201819,-18.346411,145.803945,RMRAP,18,2020,17/08/2007,2004,10,30.7,28.4,49.737,2.49,0,4.468,5.708,3.472,2,56,0.022,5,0.853761538,1,-18.62626,151.886747,26/11/2019,73.3,54.21,5.09,2.03
TO,O,AGINCOURT REEFS (NO 1),22088S,201694,14138S199495,-21.173453,146.658279,RAP,21,2010,7/05/2005,1998,4,27.7,28.7,7.726,2.43,2.49,3.093,2.924,0.593,0,17,0,11,0.1035396,1,-18.678596,145.857641,20/04/1998,38.31,26.63,10.42,6.91
SW,M,LADY MUSGRAVE REEF,21556S,200930,14126S201011,-21.53378,145.014762,RMRAP,27,2008,4/05/2016,2017,2,29.1,30.6,15.208,2.55,2.47,2.5,5.089,2.216,0,25,0,12,1.828824834,2,-14.925014,145.986135,3/09/2020,72.13,14.73,6.67,12.72
PO,M,MANTIS REEF,21556S,200874,11016S201920,-16.057862,149.080734,RM,23,2002,20/10/2003,1992,5,30,29.4,8.656,0,0,13.771,3.227,0,2,52,0,0,0,1,-15.029236,145.638158,12/05/2008,44.79,17.83,15.92,2.89
TO,O,BORDER ISLAND REEF (NO 1),14137S,200788,23080S200910,-21.30767,151.948761,RAP,17,2016,25/09/2006,2014,5,26.7,25.7,25.421,2.43,2.47,4.663,2.369,0.667,2,42,0,77,0.558973617,2,-18.946821,151.569637,5/12/2007,77.73,11.78,1,2.43
CL,O,MICHAELMAS REEF,19209S,199598,18034S200001,-14.463102,145.668203,RM,5,2003,29/04/1999,2001,5,30.5,27.9,4.792,2.54,0,2.522,2.544,1.652,2,22,0.006,1,0,3,-20.145256,149.611125,12/01/2015,11.76,17.54,25.52,4.77
CA,M,JOHN BREWER REEF,16068S,201997,23082S201314,-18.176067,145.613015,RAP,23,2020,30/08/2012,2003,8,28.9,29.4,25.294,2.52,0,3.086,0.308,0,2,81,9.552,1,0.612113565,1,-16.317817,143.762411,7/01/1996,62.42,3.36,14.15,12.58
TO,M,YONGE REEF,18096S,201677,17014S201112,-20.689148,147.097684,RAP,15,2014,7/05/2016,1998,4,29.5,28.6,3.195,2.58,2.47,2.5,2.453,1.662,0,35,0,0,0.567401571,3,-18.923949,147.292689,30/04/2000,34.95,5.9,1.12,4.58
WH,M,FORK REEF,21558S,200165,20014S199899,-19.52632,149.133204,RM,5,1997,3/12/2002,1994,8,25.8,25.9,25.696,0,2.45,9.296,0.757,0,2,52,0,21,0,1,-19.887884,149.686459,26/03/2000,24.81,10.49,0.26,14.31
TO,O,GRUB REEF(18077),18032S,201282,23079S201920,-20.759439,147.065434,RM,23,2020,31/10/2003,2015,9,26.1,30.2,25.199,2.47,2.51,20.139,28.776,2.439,2,62,0,62,0.659559516,1,-23.694718,152.432754,10/11/2006,75.67,18.28,0.5,3.33
WH,I,21278S,20014S,201376,20014S199899,-15.856474,145.808009,RM,6,2007,21/03/2007,1993,2,32.7,26.6,15.497,0.01,0,13.423,0.662,1.27,1,86,0,0,0.004420156,1,-19.946483,149.60401,26/03/2000,48.8,10.98,22.12,40.93
PO,M,JENKINS REEF,20309S,201495,22088S199798,-18.110684,144.598822,RAP,27,2007,25/04/1996,2013,5,28.9,28.7,8.958,2.53,0,4.062,2.332,0,1,53,0.016,52,0.159700652,1,-21.700182,145.190969,4/02/2001,17.03,5.27,0,7.78
WH,O,HAYMAN ISLAND REEF,20014S,199876,20014S199899,-19.41201,148.907202,RM,3,1997,3/04/1994,1994,2,29,25.6,15.351,0,2.45,9.234,0.298,2.214,0,34,0,1,0.009968513,1,-19.886888,149.822392,1/12/2002,17.5,7.82,0.72,22.76
IN,O,13124S,14126S,200012,16015S202021,-18.457701,149.138596,RAP,23,2000,5/12/2020,2014,11,31.9,28.5,15.255,2.55,2.46,34.212,3.013,1.669,2,97,0.066,28,0.1184219,1,-18.418881,146.224474,5/12/2005,63.54,15.67,1.22,4.68
SW,O,RIB REEF,16057S,201331,16057S200405,-21.308571,149.81621,RM,24,2001,10/12/2007,2010,9,29.1,25.9,24.942,2.41,2.49,34.032,2.653,2.428,4,41,0.001,0,0,1,-21.555976,150.168918,9/09/2002,57.62,26.28,1.36,4.33
WH,M,HAYMAN ISLAND REEF,17063A,201484,18034S200001,-19.591751,148.98298,RM,21,2007,14/01/2004,2002,10,31.7,29.3,15.342,0.1,0,21.612,6.244,0.33,2,30,0,2,0,3,-23.654751,148.853286,29/01/1997,35.39,19.77,0.98,4.88
PO,I,19138S,17064S,201425,16015S202021,-20.064829,151.983708,RM,14,2005,21/01/2010,2008,9,30.3,26.6,25.026,2.56,2.43,34.611,3.649,2.431,3,59,0,0,0.036738266,2,-20.919637,149.790368,29/10/1992,54.25,20.48,0.94,6.34
CB,M,DAVIES REEF,18086S,201547,19207S199899,-18.432045,148.718665,RM,8,2015,1/05/2004,1998,6,28,28,7.831,2.5,2.52,23.554,2.723,1.972,1,19,0,1,0.55167029,1,-17.94164,146.86084,23/03/2007,52.48,35.45,0,9.19
SW,M,21278S,20351A,201357,23055S202021,-21.479147,152.312008,RAP,24,2014,5/08/2001,2014,11,23.5,26.5,47.339,2.55,2.44,8.597,3.275,1.47,3,35,0,15,0.69201304,1,-22.259155,151.38225,5/12/2007,71.66,16.84,1.43,7.01
PC,M,CHINAMAN REEF(22102),14123S,202021,17014S201112,-18.180169,145.174044,RAP,24,2017,26/08/2014,2005,12,29,29.3,8.984,2.37,2.5,6.476,7.842,0.547,1,71,0.025,0,0.562986232,3,-14.989285,145.702959,20/09/2001,53.43,4.46,3.16,22.76
TO,M,ST CRISPIN REEF,16068S,200285,16028S200607,-18.288427,145.616542,RM,9,1995,2/12/2008,2013,10,26.6,26.2,15.426,14.95,0,2.628,35.761,0.843,2,18,0,0,0.239661498,2,-17.009116,149.221351,13/02/2002,55.81,5.41,20.29,7.75
SW,O,FEATHER REEF,14126S,201677,16019S200506,-21.337776,152.186707,RAP,25,2006,11/09/2002,2006,2,28.8,25.6,61.109,2.58,2.48,22.75,6.959,0.607,3,54,0.045,10,0.617543919,1,-14.344711,152.164447,3/10/1992,45.37,11.12,0.6,3.52
CA,O,19131S,14126S,201339,20014S199899,-19.470025,145.74099,RM,6,2017,11/01/2015,2006,8,29.8,26.6,2.901,0.03,0,13.442,9.457,1.186,0,29,0.023,1,0.010923571,1,-19.743928,148.918952,13/03/2011,45.09,25.18,1.1,22.68
SW,M,MACGILLIVRAY REEF,23080S,201763,16028S199697,-16.543903,152.203244,RM,9,2008,30/04/2018,2006,11,28.3,30.1,15.228,2.59,2.47,10.798,13.822,2.393,2,21,0,40,0.735140026,3,-23.341587,147.701521,22/10/2012,63.62,27.03,2.09,2.08
TO,O,HASTINGS REEF,20351B,199739,19138S200809,-20.754337,149.30431,RM,11,2016,27/04/2014,2000,4,28,28.4,14.885,0,0,25.814,0.148,1.222,0,26,0,0,1.201978155,2,-15.167864,150.091716,1/05/2016,26.24,19.11,0.52,9.8
IN,I,SLATE REEF,14116S,201503,18086S201213,-15.773295,149.225715,RM,4,2002,21/04/1998,1992,2,28.5,28.6,8.404,28.74,2.5,14.862,3.195,1.414,2,31,0,1,0,1,-14.87714,149.432361,2/06/2013,28.25,5.66,1.35,9.25
TO,I,ROXBURGH REEF,23079S,200981,21278S200910,-20.3539,143.25,RAP,26,2021,29/04/2017,2019,3,29.4,29.5,4.177,2.49,2.53,22.87,7.72,2.318,22,92,0,6,0.11243681,1,-14.352283,143.25005,20/09/2001,54.15,29.27,0.88,2.77
CA,I,HOSKYN ISLANDS REEF,21139S,201255,20019S199495,-19.81854,149.303229,RM,11,2002,2/12/2015,1999,10,25.1,27.8,25.417,0.06,2.44,8.553,35.731,1.295,1,22,0,0,0.000313465,1,-20.165403,149.445067,17/02/1995,26.77,12,2.01,0.98
CB,O,MAST HEAD REEF,22102S,200323,23080S200910,-23.139774,151.924903,RAP,12,2016,21/02/2019,2014,10,23,29.2,35.341,2.6,2.46,26.845,3.813,0.878,3,21,0.203,68,0.492860843,1,-21.442098,152.514649,17/08/2001,27.72,13.72,1.6,1.58
CL,M,LIZARD ISLAND,16057S,201557,16015S199900,-15.734103,145.204361,RMRAP,18,2008,19/09/2016,2008,4,28.7,29.2,7.52,2.39,2.48,22.7,2.596,1.621,1224,66,0,1,0.685145375,3,-14.827005,145.774282,8/03/2015,53.45,19.52,1.55,6.38
CA,I,CENTIPEDE REEF,16049S,201879,23082S201920,-15.897545,147.207803,RAP,20,2021,8/11/1996,2014,2,31.8,29.9,25.751,2.53,2.47,3.949,15.958,0.696,0,91,0,10,1.26710194,1,-21.937976,145.593354,27/01/2019,97.15,3.85,4.85,6.22
CL,O,AGINCOURT REEFS (NO 1),11049S,201913,16049S199293,-14.039311,149.151363,RM,21,2006,13/01/2021,2000,8,30.6,28.6,2.5,0,2.42,19.507,5.823,2.803,2,23,0,0,0,1,-20.297662,145.159655,9/01/2013,78.38,14.46,8.84,17.17
SW,I,21550S,14016S,200995,23080S201314,-21.645284,151.554816,RAP,27,2018,28/11/2011,2017,9,27.1,27.2,36.668,2.39,2.52,39.749,3.08,1.136,1,51,0.019,32,0.489367604,2,-22.254788,151.615721,8/09/2002,27.91,36.76,0.83,0.77
SW,M,MYRMIDON REEF,21305S,201854,22102S199293,-18.491907,151.959487,RAP,17,2015,25/09/2006,2015,9,28.3,25.3,15.185,2.39,2.49,11.748,3.138,0.622,2,85,0,24,0.457080252,1,-22.355722,152.286736,25/10/2003,57.61,14.56,18.62,5.5
PO,O,JENKINS REEF,16071S,201513,13124S201920,-15.598579,151.894854,RAP,14,2017,24/02/2020,2013,12,31.8,25.5,2.684,2.63,2.46,2.5,6.453,1.267,1,55,0.024,1,0.484100862,1,-20.740119,147.16015,22/02/2020,60.21,13.18,1.08,1.89
CA,M,WRECK ISLAND REEF,14143S,201981,18034S199899,-16.193617,145.025443,RM,12,2012,20/10/1998,1994,2,28.9,30.1,25.911,0,0,11.094,0.189,2.39,1,94,0,2,0,1,-15.017075,149.303648,12/09/2019,36.07,9.88,2.5,13.08
TO,M,ONE TREE REEF,21245S,200954,22102S199293,-22.703425,151.949386,RAP,26,2019,24/09/2018,2007,3,29.4,27.4,66.042,2.56,2.49,9.652,2.552,1.535,968,58,0.058,31,1.408839322,1,-18.795882,145.848453,7/03/2006,53.94,8.47,12.57,3.35
